Column1,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
9,35,47,0.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
10,27,55,0.329,31.0,98.8,105.8,-6.6,2018,Sacramento Kings
11,21,61,0.256,37.0,103.9,113.3,-8.8,2018,Phoenix Suns
13,65,17,0.793,0.0,112.4,103.9,8.21,2018,Houston Rockets
14,48,34,0.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans
15,47,35,0.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs
16,24,58,0.293,41.0,102.3,105.4,-2.7,2018,Dallas Mavericks
17,22,60,0.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
1,58,24,0.707,0.0,114.4,108.4,5.49,2019,Toronto Raptors
2,51,31,0.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers
3,49,33,0.598,9.0,112.4,108,3.9,2019,Boston Celtics
4,42,40,0.512,16.0,112.2,112.3,-0.4,2019,Brooklyn Nets
5,17,65,0.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
7,60,22,0.732,0.0,118.1,109.3,8.04,2019,Milwaukee Bucks
8,48,34,0.585,12.0,108,104.7,2.76,2019,Indiana Pacers
9,41,41,0.5,19.0,107,107.3,-0.56,2019,Detroit Pistons
10,22,60,0.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
11,19,63,0.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
13,42,40,0.512,0.0,107.3,106.6,0.28,2019,Orlando Magic
14,39,43,0.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
15,39,43,0.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
16,32,50,0.39,10.0,114,116.9,-3.3,2019,Washington Wizards
17,29,53,0.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
1,54,28,0.659,0.0,110.7,106.7,4.19,2019,Denver Nuggets
2,53,29,0.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers
3,50,32,0.61,4.0,111.7,106.5,5.28,2019,Utah Jazz
4,49,33,0.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder
5,36,46,0.439,18.0,112.5,114,-1.02,2019,Minnesota Timberwolves
7,57,25,0.695,0.0,117.7,111.2,6.42,2019,Golden State Warriors
8,48,34,0.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers
9,39,43,0.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
10,37,45,0.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
11,19,63,0.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
13,53,29,0.646,0.0,113.9,109.1,4.96,2019,Houston Rockets
14,48,34,0.585,5.0,111.7,110,1.8,2019,San Antonio Spurs
15,33,49,0.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
16,33,49,0.402,20.0,115.4,116.8,-1.1,2019,New Orleans Pelicans
17,33,49,0.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
1,53,19,0.736,0.0,112.8,106.5,5.97,2020,Toronto Raptors
2,48,24,0.667,5.0,113.7,107.3,5.83,2020,Boston Celtics
3,43,30,0.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers
4,35,37,0.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets
5,21,45,0.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
7,56,17,0.767,0.0,118.7,108.6,9.41,2020,Milwaukee Bucks
8,45,28,0.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers
9,22,43,0.338,30.0,106.8,109.9,-4,2020,Chicago Bulls
10,20,46,0.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons
11,19,46,0.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers
13,44,29,0.603,0.0,112,109.1,2.59,2020,Miami Heat
14,33,40,0.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic
15,23,42,0.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets
16,25,47,0.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards
17,20,47,0.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks
1,46,27,0.63,0.0,111.3,109.2,2.35,2020,Denver Nuggets
2,44,28,0.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder
3,44,28,0.611,1.5,111.3,108.8,2.52,2020,Utah Jazz
4,35,39,0.473,11.5,115,116.1,-0.61,2020,Portland Trail Blazers
5,19,45,0.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
7,52,19,0.732,0.0,113.4,107.6,6.28,2020,Los Angeles Lakers
8,49,23,0.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers
9,34,39,0.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
10,31,41,0.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
11,15,50,0.231,34.0,106.3,115,-8.12,2020,Golden State Warriors
13,44,28,0.611,0.0,117.8,114.8,3.13,2020,Houston Rockets
14,43,32,0.573,2.5,117,112.1,4.87,2020,Dallas Mavericks
15,34,39,0.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
16,32,39,0.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
17,30,42,0.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
1,49,23,0.681,0.0,113.6,108.1,5.28,2021,Philadelphia 76ers
2,48,24,0.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets
3,41,31,0.569,8.0,107,104.7,2.13,2021,New York Knicks
4,36,36,0.5,13.0,112.6,111.2,1.32,2021,Boston Celtics
5,27,45,0.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
7,46,26,0.639,0.0,120.1,114.2,5.57,2021,Milwaukee Bucks
8,34,38,0.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
9,31,41,0.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
10,22,50,0.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
11,20,52,0.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
13,41,31,0.569,0.0,113.7,111.4,2.14,2021,Atlanta Hawks
14,40,32,0.556,1.0,108.1,108,-0.06,2021,Miami Heat
15,34,38,0.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards
16,33,39,0.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
17,21,51,0.292,20.0,104,113.3,-9.02,2021,Orlando Magic
1,52,20,0.722,0.0,116.4,107.2,8.97,2021,Utah Jazz
2,47,25,0.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets
3,42,30,0.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers
4,23,49,0.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
5,22,50,0.306,30.0,105,115.6,-10.13,2021,Oklahoma City Thunder
7,51,21,0.708,0.0,115.3,109.5,5.67,2021,Phoenix Suns
8,47,25,0.653,4.0,114,107.8,6.02,2021,Los Angeles Clippers
9,42,30,0.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers
10,39,33,0.542,12.0,113.7,112.7,1.1,2021,Golden State Warriors
11,31,41,0.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
13,42,30,0.583,0.0,112.4,110.2,2.26,2021,Dallas Mavericks
14,38,34,0.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies
15,33,39,0.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
16,31,41,0.431,11.0,114.6,114.9,-0.2,2021,New Orleans Pelicans
17,17,55,0.236,25.0,108.8,116.7,-7.5,2021,Houston Rockets
1,51,31,0.622,0.0,111.8,104.5,7.02,2022,Boston Celtics
2,51,31,0.622,0.0,109.9,107.3,2.57,2022,Philadelphia 76ers
3,48,34,0.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors
4,44,38,0.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets
5,37,45,0.451,14.0,106.5,106.6,-0.01,2022,New York Knicks
7,51,31,0.622,0.0,115.5,112.1,3.22,2022,Milwaukee Bucks
8,46,36,0.561,5.0,111.6,112,-0.38,2022,Chicago Bulls
9,44,38,0.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers
10,25,57,0.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers
11,23,59,0.28,28.0,104.8,112.5,-7.36,2022,Detroit Pistons
13,53,29,0.646,0.0,110,105.6,4.23,2022,Miami Heat
14,43,39,0.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks
15,43,39,0.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets
16,35,47,0.427,18.0,108.6,112,-3.23,2022,Washington Wizards
17,22,60,0.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic
1,49,33,0.598,0.0,113.6,107.6,5.67,2022,Utah Jazz
2,48,34,0.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets
3,46,36,0.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves
4,27,55,0.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
5,24,58,0.293,25.0,103.7,111.8,-7.9,2022,Oklahoma City Thunder
7,64,18,0.78,0.0,114.8,107.3,6.94,2022,Phoenix Suns
8,53,29,0.646,11.0,111,105.5,5.52,2022,Golden State Warriors
9,42,40,0.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
10,33,49,0.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
11,30,52,0.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
13,56,26,0.683,0.0,115.6,109.9,5.37,2022,Memphis Grizzlies
14,52,30,0.634,4.0,108,104.7,3.12,2022,Dallas Mavericks
15,36,46,0.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans
16,34,48,0.415,22.0,113.2,113,0.02,2022,San Antonio Spurs
17,20,62,0.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
